København,Amagerfælledvej,91,etage:st dør:tv,2300
København,Amagerbrogade,232B,etage:2 dør:tv,2300
København,Birkebakken,17,,2500
København,Amagerbrogade,250,etage:4 dør:tv,2300
København,Blågårdsgade,29B,etage:2 dør:th,2200
Kolding,Lokes Ager,25,,6000
København,Amaliegade,40,etage:2 dør:tv,1256
København,Bispebjerg Bakke,18B,etage:2 dør:tv,2400
Aarhus,Graven,16F,etage:1,8000
København,Birkedommervej,20,etage:st dør:th,2400
København,Baldersgade,53,etage:kl,2200
København,Abel Cathrines Gade,18,etage:st dør:2,1654
Viborg,Vestergade,5B,,8830
København,V.A. Borgens Vej,9,etage:2 dør:th,2450
København,Borgbjergsvej,55,etage:st dør:tv,2450
København,Bredgade,45B,etage:1 dør:th,1260
København,Bechgaardsgade,10,etage:1 dør:tv,2100
København,Bjelkes Allé,20,etage:3,2200
København,Bispeparken,3,etage:3 dør:tv,2400
København,Bellmansgade,11,etage:3 dør:tv,2100
København,Birkebakken,3,,2500
København,Arendalsgade,9,etage:4 dør:tv,2100
København,Amagerbrogade,62,etage:3 dør:14,2300
København,Bremensgade,58,etage:2 dør:th,2300
København,Blågårdsgade,40,,2200
Skive,Furvej,9D,,7800
København,Amager Boulevard,115,etage:2 dør:207,2300
København,Borgbjergsvej,26,,2450
København,Cylindervej,13,etage:2 dør:th,2450
København,Biens Allé,4,etage:st dør:mf,2300
Aalborg,Griegsvej,122,,9200
København,Brigadevej,20A,etage:1 dør:tv,2300
København,Borrebyvej,42,,2700
Syddjurs,Marius Hous Vej,9,,8543
København,Brigadevej,50,etage:1 dør:241,2300
København,Bellahøjvej,102,etage:st dør:th,2720
København,Agnes Henningsens V,1,etage:3 dør:411,2200
København,Blågårdsgade,2A,etage:3 dør:tv,2200
København,Sundbygårdsvej,85,etage:1 dør:th,2300
København,Baggesensgade,33,etage:5 dør:th,2200
København,Blågårdsgade,30,etage:2 dør:tv,2200
København,Baldersgade,65,etage:1 dør:th,2200
København,Borups Allé,12,etage:2 dør:tv,2200
København,Bergthorasgade,7,etage:3,2300
København,Bredgade,19B,,1260
København,Absalonsgade,20,etage:4 dør:th,1658
Glostrup,Vængedalen,528,,2600
Allerød,Grøndalstien,42,,3450
København,Sigynsgade,30,etage:st dør:tv,2200
København,Blegdamsvej,118,etage:2 dør:14,2100
København,Axel Heides Gade,22,etage:1 dør:tv,2300
København,Arildsgård,29,etage:1 dør:tv,2700
Aarhus,Møgelgårdsvej,16D,,8520
København,Bredgade,33B,etage:1 dør:tv,1260
København,Bremerholm,1A,etage:st,1069
København,Bergthorasgade,56,etage:4 dør:tv,2300
Randers,Elmevej,34A,,8960
København,Beatevej,1,,2500
Aarhus,Vestre Ringgade,76B,etage:3,8000
Ballerup,Syrentræet,4,,2750
København,Sigynsgade,3,etage:4 dør:tv,2200
København,Adelgade,50,etage:1 dør:tv,1304
København,Blegdamsvej,29A,etage:6 dør:703,2100
København,Bispebjerg Bakke,23E,etage:st,2400
København,Amagerbrogade,32,etage:st dør:th,2300
København,Artillerivej,63,etage:st dør:29,2300
København,Bredgade,25F,,1260
Aarhus,Arresøvej,7D,,8240
København,Blegdamsvej,118,etage:5 dør:32,2100
København,Bispebjerg Parkallé,22,etage:2 dør:215,2400
København,Beatevej,27,etage:2 dør:th,2500
København,Bangsbovej,10,,2720
København,Astrupvej,54,,2700
København,Bellahøjvej,6A,etage:3 dør:th,2700
København,Agnes Henningsens V,3,etage:7 dør:806,2200
København,Augustagade,20,etage:4 dør:th,2300
København,Axeltorv,5,,1609
København,Beatevej,8,etage:st dør:2,2500
København,Borgergade,40,etage:2 dør:tv,1300
København,Birkedommervej,72,etage:2 dør:tv,2400
København,Amaliegade,15,etage:2,1256
København,Abel Cathrines Gade,27,etage:5 dør:th,1654
København,Birkegade,6,etage:st dør:tv,2200
København,Amagerfælledvej,121,etage:2 dør:th,2300
København,Borgbjergsvej,3,etage:2 dør:th,2450
København,Bramslykkevej,21,etage:1 dør:tv,2500
København,Arkonagade,10,etage:3 dør:th,1726
København,Bergthorasgade,26,etage:2 dør:th,2300
København,Arildsgård,8,etage:1 dør:th,2700
København,Ahlefeldtsgade,26,etage:kl dør:tv,1359
København,Blegdamsvej,126,etage:st dør:tv,2100
Helsingør,Strandpromenaden,49,etage:2 dør:th,3000
København,Bogholder Allé,76B,etage:3 dør:tv,2720
København,Svend Aukens Plads,7,etage:3 dør:tv,2300
København,Artillerivej,72,etage:5 dør:tv,2300
København,Sigynsgade,9,etage:st dør:th,2200
Næstved,Kasernevej,15,,4700
København,Amagerfælledvej,75,etage:2 dør:th,2300
København,Amagerbrogade,92,,2300
Ringkøbing-Skjern,Blæsenborgparken,25,,6950
Aarhus,Egå Mosevej,37B,,8250
København,Bogtrykkervej,36,etage:3 dør:tv,2400
Esbjerg,Østerbyvej,73,,6731
København,Amerika Plads,17,etage:4,2100
København,Bjergvænget,5,etage:1 dør:th,2400
København,Valby Langgade,209A,,2500
København,Amagertorv,27A,etage:4,1160
København,Amaliegade,10,etage:2,1256
København,Absalonsgade,18,etage:2 dør:th,1658
København,Artillerivej,156,etage:6 dør:tv,2300
København,Arendalsgade,5,,2100
Kalundborg,Vandværksvej,12,,4281
København,Amagerbrogade,148,etage:1,2300
København,Bogholder Allé,26,etage:1 dør:th,2720
København,Bodenhoffs Plads,8,etage:4 dør:tv,1430
København,Bodenhoffs Plads,9,etage:3 dør:115,1430
København,Arkonagade,22,etage:3 dør:th,1726
Frederiksberg,Godthåbsvej,26C,,2000
København,Skoleholdervej,91,etage:2 dør:tv,2400
København,Blågårds Plads,3,,2200
København,Ahornsgade,7,etage:2 dør:tv,2200
København,Amagerbrogade,128,etage:1 dør:th,2300
Randers,Egeskovvej,12,,8930
København,Bispebjerg Bakke,22A,etage:st dør:th,2400
Vejle,Frydenlund,193,,7120
København,Arildsgård,43,etage:st dør:tv,2700
København,Bogensegade,1,etage:5 dør:th,2100
Slagelse,Ingemannsvej,46,,4200
København,Amagerbrogade,120,etage:1 dør:th,2300
Randers,Ingrid Marie Vej,56,,8960
København,Bispeparken,20,etage:3 dør:th,2400
København,Bjergstedvej,13,etage:3 dør:tv,2700
Vejle,Borggårdsvej,69,,7080
København,Bobakken,17,etage:st dør:th,2720
København,Arkonagade,21,etage:4 dør:th,1726
