Bedum,Witsenborgstraat,27,,9781BC
Bedum,Industrieweg,31,,9781AC
Groningen,Graaf Adolfstraat,2,,9717EE
Bellingwolde,Hoofdweg,198,,9695AT
Delfzijl,Kustweg,300,,9933BP
Delfzijl,Cornelis Houtmanstraat,9,,9934HD
Groningen,Camphuysenstraat,17,,9721KA
Groningen,Semarangstraat,23,b,9715JS
Delfzijl,Jan Plenterstraat,18,,9933KG
Bedum,De Acacia,8,,9781VG
Appingedam,Houwerdastraat,2,,9902GK
Groningen,Mispellaan,31,,9741GJ
Groningen,Avondsterlaan,55,,9742KB
Groningen,Bekemaheerd,37,,9737PP
Appingedam,Abel Eppensstraat,37,,9902HB
Blijham,Berkenpad,30,,9697RE
Delfzijl,Rolblok,31,,9932AH
Appingedam,Westersingel,49,,9901GG
Appingedam,Heerdlaan,4,24,9901CC
Bedum,Kapelstraat,6,,9781GK
Bellingwolde,Hoofdweg,306,,9695AX
Appingedam,Kniestraat,13,,9901AD
Groningen,Kraaienest,110,,9733HK
Wagenborgen,G. Boelmanweg,3,,9945RE
Delfzijl,Kustweg,514,,9933BZ
Wagenborgen,Familie Bronsweg,6,,9945PR
Delfzijl,Horsbornplaat,64,,9931CN
Bellingwolde,Beukenlaan,34,,9695GC
Groningen,Dr. C. Hofstede de Grootkade,27,,9718KB
Vriescheloo,Wedderweg,22,,9699RC
Ten Boer,Ommelanderstraat,51,,9791LH
Delfzijl,Kadijk,38,,9933DK
Wagenborgen,Kloosterlaan,26,,9945TG
Appingedam,Burgemeester Klauckelaan,67,,9902KT
Meedhuizen,Geefsweersterweg,19,,9937TB
Ten Post,B. Kuiperweg,10,,9792PK
Garmerwolde,Grasdijkweg,8,,9798TC
Appingedam,Secretaris Holscherlaan,63,,9902LK
Groningen,Tweede Willemstraat,42,a,9725JK
Godlinze,Terpweg,18,,9908PG
Delfzijl,Zigzagoven,12,,9934NC
Groningen,Jonkerstraat,10,,9711HP
Wedde,Paviljoenweg,2,H10,9698XX
Delfzijl,De Vennen,56,,9934AG
Delfzijl,Tichelwerk,38,,9934LC
Groningen,Noorderspoorsingel,11,,9716JB
Bellingwolde,Sportweg,52,,9695EC
Delfzijl,De Vennen,164,,9934AJ
Groningen,Gelkingestraat,36,a,9711ND
Bedum,Kuifeend,28,,9781ZJ
Delfzijl,Piet Heinstraat,9,,9934HJ
Delfzijl,Kustweg,25,305,9933AA
Delfzijl,Fregatlaan,8,,9934EV
Appingedam,Olingermeeden,86,,9903ET
Groningen,Polderstraat,37,,9724EC
Onderdendam,Bedumerweg,26,,9959PG
Groningen,Nicolaas Beetsstraat,113,,9721RM
Ten Boer,Bloemhof,1,2,9791LA
Groningen,Hanckemaborg,1,,9722WD
Delfzijl,De Wending,53,,9933KM
Groningen,Lijzijde,76,,9733LD
Groningen,Bernoulliplein,4,a,9714BT
Oudeschans,Koudehoek,8,,9696XP
Appingedam,Overdiep,26,105,9902BX
Groningen,Regulusstraat,8,,9742LN
Groningen,Helperzoom,271,,9722BN
Appingedam,Willem-Alexanderlaan,16,,9901DE
Groningen,Jan van Goyenstraat,6,a,9718NX
Groningen,Tuinbouwstraat,58,,9717JK
Appingedam,Meedensingel,3,,9903BH
Ten Boer,Pompstertocht,12,,9791JJ
Bellingwolde,Nachtegaallaan,9,,9695BC
Ten Boer,Fivelstraat,40,,9791LN
Bedum,Abel Tasmanstraat,12,,9781BS
Ten Boer,Standwerker,25,,9791MC
Appingedam,Hopstraat,5,,9903BV
Delfzijl,Zwet,60,,9932BT
Farmsum,Deltaweg,1,,9936HK
Farmsum,Borgshof,6,,9936CS
Blijham,De Omloop,66,,9697LB
Appingedam,Korte Baan,1,,9903CD
Delfzijl,Kattegat,69,,9933TN
Groningen,Sloep,159,,9732CJ
Appingedam,Scharreweersterweg,29,,9902CA
Groningen,Peizerweg,14,a,9726JH
Appingedam,Tolweg,2,,9902TJ
Groningen,Ypemaheerd,88,,9736MC
Bedum,Speenkruid,40,,9781WB
Wagenborgen,Meerweg,3,,9945RC
Delfzijl,Delf,10,,9932HP
Bellingwolde,Hoofdweg,304,,9695AX
Groningen,Kwinkenplein,18,,9712GZ
Delfzijl,Cornelis Houtmanstraat,51,,9934HE
Delfzijl,Huibertplaat,41,,9931CB
Delfzijl,Sluis,13,,9934RW
Wedde,Markedwarsweg,43,,9698AV
Groningen,Kornalijnlaan,154,,9743JP
Groningen,Oosterkade,2,e-1,9711RS
Groningen,Koninginnelaan,44,a,9717BW
Delfzijl,Geerstuk,20,,9932JP
Bedum,Prof Mekelstraat,23,,9781JG
Delfzijl,Wegastraat,5,,9933CM
Groningen,Roer,69,,9733AH
Appingedam,Heerdlaan,2,401,9901CC
Groningen,Aquamarijnstraat,641,,9743PR
Appingedam,Westersingel,104,,9901GK
Termunterzijl,Schepperbuurt,27,,9948PR
Wagenborgen,de Linden,12,,9945PZ
Groningen,Heymanslaan,51,a,9714GJ
Groningen,Surinamestraat,145,,9715PT
Groningen,Ossehoederstraat,23,,9742TJ
Groningen,Peizerweg,29,b,9726JB
Groningen,Neptunusstraat,19,,9742JK
Groningen,Cortinghlaan,46,,9716HW
Ten Boer,Schepperij,1,,9791LW
Groningen,Nieuwstraat,128,,9724KS
Groningen,J. Baart de la Faillestraat,33,a,9713JC
Groningen,Van Lenneplaan,47,,9721PC
Blijham,Swikstellen,15,,9697PW
Wedde,Hoofdweg Wedderveer,47,,9698PB
Spijk,Oostpolderweg,1,,9909TH
Groningen,Barestraat,6,a,9725CP
Delfzijl,Kattegat,61,,9933TM
Onderdendam,Onderwierum,9,A,9959TA
Bedum,Smidshorn,15,,9781KX
Appingedam,Scharreweersterweg,34,,9902CH
Groningen,Nieuwe Sint Jansstraat,16,a,9711VJ
Groningen,Westerbinnensingel,3,,9718BR
Spijk,Mevr. Evers-Dijkhuizenlaan,15,,9909EA
Bedum,De Ruyterstraat,27,,9781BW
Appingedam,Graaf Edzardstraat,66,,9902HV
Groningen,Aquamarijnstraat,283,,9743PG
Appingedam,Burgemeester Meesstraat,32,,9902NT
Bedum,De Bongerd,6,,9781NL
Spijk,Oostpolderweg,23,,9909TH
Delfzijl,De Vennen,123,,9934AD
Appingedam,Patrimoniumstraat,14,,9902BE
Groningen,Jacob Catsstraat,29,,9716GA
Thesinge,G.N. Schutterlaan,1,,9797PA
Groningen,Strausslaan,50,,9722KV
