Wien,Neustiftgasse,108,,1070
Wien,Gassergasse,48-50,,1050
Wien,ZiegelhofStr.,112,,1220
Wien,Handelskai,214,,1020
Wien,Spitzweg,101,,1210
Wien,Am Mühlwasser,110,,1220
Wien,Leopoldauer Str.,193,,1210
Wien,Raffaelgasse,20,,1200
Wien,SchafflerhofStr.,219,,1220
Wien,Simmeringer HauptStr.,431,,1110
Wien,Jedlersdorfer Str.,248,,1210
Wien,Tamariskengasse,122,,1220
Wien,Sendnergasse,121,,1110
Wien,HermesStr.,181,,1130
Wien,ElisenStr.,110,,1230
Wien,Heiligenstädter Str.,417,,1190
Wien,Prager Str.,133,,1210
Wien,Finkenweg,220,,1220
Wien,Pombergerweg,294,,1220
Wien,HerbeckStr.,118,,1180
Wien,Newaldgasse,5,,1090
Wien,ZiegelhofStr.,149,,1220
Wien,Haymogasse,104,,1230
Wien,KLG Rosental,320,,1140
Wien,Schönburgstr.,35,,1040
Wien,Rautenweg,150,,1220
Wien,Altwirthgasse,6-10,,1230
Wien,Malborghetgasse,33,,1100
Wien,Brünner Str.,122,,1210
Wien,Sechshauser Str.,126,,1150
Wien,UlmenStr.,152,,1140
Wien,Kollergasse,22,,1030
Wien,Wällischgasse,13-9,,1030
Wien,Deublergasse,10-14,,1210
Wien,Neulerchenfelder Str.,62,,1160
Wien,AuhofStr.,208,,1130
Wien,WolkersbergenStr.,112,,1130
Wien,Ketzergasse,200,,1230
Wien,Speisinger Str.,128,,1130
Wien,Pötzleinsdorfer Str.,196,,1180
Wien,ThaliaStr.,115,,1160
Wien,Strebersdorfer Str.,55,,1210
Wien,Kaiser-Ebersdorfer Str.,205,,1110
Wien,Hadikgasse,258,,1140
Wien,Laaer Wald,236,,1100
Wien,Jagicgasse,10-12,,1130
Wien,Hütteldorfer Str.,232,,1140
Wien,MargaretenStr.,110,,1050
Wien,Breitenfurter Str.,470,,1230
Wien,Linzer Str.,508,,1140
Wien,RosenhügelStr.,191,,1230
Wien,HasnerStr.,131,,1160
Wien,Laxenburger Str.,203,,1100
Wien,Karl-Bekehrty-Str.,57,,1140
Wien,Sonnenweg,107,,1140
Wien,Breitenfurter Str.,561,,1230
Wien,WittgensteinStr.,117,,1230
Wien,Fasangartengasse,117,,1120
Wien,Linzer Str.,265,,1140
Wien,Telephonweg,263,,1220
Wien,Czartoryskigasse,229,,1170
Wien,Buchengasse,169,,1100
Wien,Sonnenweg,162,,1140
Wien,Dr.Neumann Gasse,8-10,,1230
Wien,LannesStr.,113,,1220
Wien,Sonnenweg,101,,1140
Wien,KnödelhüttenStr.,160,,1140
Wien,Hadikgasse,172,,1140
Wien,Klederinger Str.,217,,1100
Wien,Gumpendorfer Str.,139,,1060
Wien,Laxenburger Str.,132,,1100
Wien,Spitzweg,122,,1210
Wien,Kaiser-Ebersdorfer Str.,288,,1110
Wien,Krebsengartengasse,2-10,,1150
Wien,Klausgasse,48,,1160
Wien,Bambergergasse,139,,1220
Wien,Linzer Str.,348,,1140
Wien,Oberlaaer Str.,244,,1100
Wien,An der unteren Alten Donau,105,,1220
Wien,Simmeringer HauptStr.,128,,1110
Wien,Pfeilgasse,9-11/54,,1080
Wien,LandStr.r HauptStr.,157,,1030
Wien,Steigenteschgasse,152,,1220
Wien,HausfeldStr.,165,,1220
Wien,Breitenfurter Str.,394,,1230
Wien,Wilhelminenstr.,100,,1160
Wien,Eßlinger HauptStr.,141,,1220
Wien,Benjowskigasse,90,,1220
Wien,Reinlgasse,43,,1140
Wien,Erzherzog-Karl-Str.,108,,1220
Wien,Brünner Str.,215,,1210
Wien,Währinger Gürtel,107,,1180
Wien,Lainzer Str.,156,,1130
Wien,Jedlersdorfer Str.,340,,1210
Wien,Linzer Str.,488,,1140
Wien,FavoritenStr.,106,,1100
